timestamp,temperature_c,humidity_rh
2026-03-09 19:57:01,22.30,41.10
2026-03-09 20:02:01,22.50,42.60
2026-03-09 20:07:01,22.40,42.80
2026-03-09 20:12:01,22.40,44.00
2026-03-09 20:17:01,22.50,43.80
2026-03-09 20:22:01,22.60,44.30
2026-03-09 20:27:01,22.80,43.70
2026-03-09 20:32:01,22.90,43.70
2026-03-09 20:37:01,23.00,43.80
2026-03-09 20:42:01,23.10,43.70
2026-03-09 20:47:01,23.30,43.50
2026-03-09 20:52:01,23.30,43.40
2026-03-09 20:57:01,23.30,43.30
2026-03-09 21:02:01,23.10,43.40
2026-03-09 21:07:01,23.00,43.40
2026-03-09 21:12:01,22.90,43.70
2026-03-09 21:17:01,22.80,43.90
2026-03-09 21:22:01,22.70,44.20
2026-03-09 21:27:01,22.50,44.50
2026-03-09 21:32:01,22.40,44.80
2026-03-09 21:37:01,22.30,45.00
2026-03-09 21:42:01,22.20,45.30
2026-03-09 21:47:01,22.10,45.50
2026-03-09 21:52:01,22.00,45.60
2026-03-09 21:57:01,21.90,45.90
2026-03-09 22:02:01,21.80,46.00
2026-03-09 22:07:01,21.80,46.20
2026-03-09 22:12:01,21.70,46.30
2026-03-09 22:17:01,21.60,46.50
2026-03-09 22:22:01,21.60,46.80
2026-03-09 22:27:01,21.50,46.80
2026-03-09 22:32:01,21.50,47.00
2026-03-09 22:37:01,21.40,47.10
2026-03-09 22:42:01,21.40,47.30
2026-03-09 22:47:01,21.30,47.40
2026-03-09 22:52:01,21.30,47.60
2026-03-09 22:57:01,21.20,47.60
2026-03-09 23:02:01,21.20,47.70
2026-03-09 23:07:01,21.20,47.80
2026-03-09 23:12:01,21.10,47.90
2026-03-09 23:17:01,21.10,48.00
2026-03-09 23:22:01,21.10,48.10
2026-03-09 23:27:01,21.10,48.10
2026-03-09 23:32:01,21.00,48.20
2026-03-09 23:37:01,21.00,48.20
2026-03-09 23:42:01,21.00,48.30
2026-03-09 23:47:01,21.00,48.40
2026-03-09 23:52:01,20.90,48.40
2026-03-09 23:57:01,20.90,48.40
2026-03-10 00:02:01,20.90,48.50
2026-03-10 00:07:01,20.90,48.50
2026-03-10 00:12:01,20.80,48.60
2026-03-10 00:17:01,20.80,48.60
2026-03-10 00:22:01,20.80,48.80
2026-03-10 00:27:01,20.80,48.80
2026-03-10 00:32:01,20.70,48.80
2026-03-10 00:37:01,20.70,48.90
2026-03-10 00:42:01,20.70,48.90
2026-03-10 00:47:01,20.70,48.90
2026-03-10 00:52:01,20.70,49.00
2026-03-10 00:57:01,20.60,49.20
2026-03-10 01:02:01,20.60,49.10
2026-03-10 01:07:01,20.60,49.20
2026-03-10 01:12:01,20.60,49.20
2026-03-10 01:17:01,20.60,49.20
2026-03-10 01:22:01,20.60,49.20
2026-03-10 01:27:01,20.60,49.20
2026-03-10 01:32:01,20.50,49.30
2026-03-10 01:37:01,20.50,49.50
2026-03-10 01:42:01,20.50,49.40
2026-03-10 01:47:01,20.50,49.40
2026-03-10 01:52:01,20.50,49.50
2026-03-10 01:57:01,20.50,49.50
2026-03-10 02:02:01,20.40,49.60
2026-03-10 02:07:01,20.40,49.50
2026-03-10 02:12:01,20.40,49.60
2026-03-10 02:17:01,20.40,49.50
2026-03-10 02:22:01,20.40,49.60
2026-03-10 02:27:01,20.40,49.70
2026-03-10 02:32:01,20.40,49.70
2026-03-10 02:37:01,20.40,49.70
2026-03-10 02:42:01,20.30,49.70
2026-03-10 02:47:01,20.30,49.70
2026-03-10 02:52:01,20.30,49.70
2026-03-10 02:57:01,20.30,49.70
2026-03-10 03:02:01,20.30,49.70
2026-03-10 03:07:01,20.30,49.80
2026-03-10 03:12:01,20.30,49.70
2026-03-10 03:17:01,20.30,49.80
2026-03-10 03:22:01,20.20,49.90
2026-03-10 03:27:01,20.20,49.80
2026-03-10 03:32:01,20.20,49.80
2026-03-10 03:37:01,20.20,49.80
2026-03-10 03:42:01,20.20,49.80
2026-03-10 03:47:01,20.20,49.80
2026-03-10 03:52:01,20.20,49.80
2026-03-10 03:57:01,20.20,49.80
2026-03-10 04:02:01,20.20,49.80
2026-03-10 04:07:01,20.10,49.90
2026-03-10 04:12:01,20.10,49.90
2026-03-10 04:17:01,20.10,49.90
2026-03-10 04:22:01,20.10,49.90
2026-03-10 04:27:01,20.10,49.90
2026-03-10 04:32:01,20.10,49.90
2026-03-10 04:37:01,20.10,49.90
2026-03-10 04:42:01,20.10,50.00
2026-03-10 04:47:01,20.10,49.90
2026-03-10 04:52:01,20.10,49.90
2026-03-10 04:57:01,20.10,49.90
2026-03-10 05:02:01,20.00,49.90
2026-03-10 05:07:01,20.00,49.90
2026-03-10 05:12:01,20.00,49.90
2026-03-10 05:17:01,20.00,49.90
2026-03-10 05:22:01,20.00,49.90
2026-03-10 05:27:01,20.00,49.90
2026-03-10 05:32:01,20.00,49.90
2026-03-10 05:37:01,20.00,49.90
2026-03-10 05:42:01,20.00,49.90
2026-03-10 05:47:01,20.00,50.00
2026-03-10 05:52:01,20.00,49.90
2026-03-10 05:57:01,20.00,49.90
2026-03-10 06:02:01,19.90,49.90
2026-03-10 06:07:01,19.90,50.00
2026-03-10 06:12:01,19.90,49.90
2026-03-10 06:17:01,19.90,50.00
2026-03-10 06:22:01,19.90,50.00
2026-03-10 06:27:01,19.90,49.90
2026-03-10 06:32:01,19.90,50.00
2026-03-10 06:37:01,19.90,49.90
2026-03-10 06:42:01,19.90,50.00
2026-03-10 06:47:01,19.90,50.00
2026-03-10 06:52:01,19.90,50.00
2026-03-10 06:57:01,19.90,50.00
2026-03-10 07:02:01,19.90,50.00
2026-03-10 07:07:01,19.90,50.00
2026-03-10 07:12:01,19.90,50.00
2026-03-10 07:17:01,19.90,50.00
2026-03-10 07:22:01,19.90,49.90
2026-03-10 07:27:01,19.90,50.00
2026-03-10 07:32:01,20.00,49.90
2026-03-10 07:37:01,20.00,49.90
2026-03-10 07:42:01,20.10,49.90
2026-03-10 07:47:01,20.10,49.80
2026-03-10 07:52:01,20.20,49.80
2026-03-10 07:57:01,18.60,36.30
2026-03-10 08:02:01,17.40,39.30
2026-03-10 08:07:01,17.80,41.20
2026-03-10 08:12:01,18.20,42.10
2026-03-10 08:17:01,18.50,42.60
2026-03-10 08:22:01,18.90,43.80
2026-03-10 08:27:01,19.20,43.70
2026-03-10 08:32:01,19.70,43.60
2026-03-10 08:37:01,20.10,43.60
2026-03-10 08:42:01,20.40,43.60
2026-03-10 08:47:01,20.70,43.60
2026-03-10 08:52:01,21.00,43.40
2026-03-10 08:57:01,21.10,43.30
2026-03-10 09:02:01,21.10,43.40
2026-03-10 09:07:01,21.10,43.60
2026-03-10 09:12:01,21.10,43.80
2026-03-10 09:17:01,21.10,43.90
2026-03-10 09:22:01,21.10,44.10
2026-03-10 09:27:01,21.10,44.20
2026-03-10 09:32:01,21.20,44.30
2026-03-10 09:37:01,21.20,44.40
2026-03-10 09:42:01,21.20,44.50
2026-03-10 09:47:01,21.30,44.60
2026-03-10 09:52:01,21.30,44.70
2026-03-10 09:57:01,21.40,44.80
2026-03-10 10:02:01,21.40,44.90
2026-03-10 10:07:01,21.50,44.90
2026-03-10 10:12:01,21.50,45.00
2026-03-10 10:17:01,21.60,45.00
2026-03-10 10:22:01,21.70,45.00
2026-03-10 10:27:01,21.80,45.10
2026-03-10 10:32:01,21.80,45.10
2026-03-10 10:37:01,21.90,45.10
2026-03-10 10:42:01,21.90,45.10
2026-03-10 10:47:01,22.00,45.50
2026-03-10 10:52:01,22.00,46.00
2026-03-10 10:57:01,22.10,46.20
2026-03-10 11:02:01,22.30,45.80
2026-03-10 11:07:01,22.50,45.50
2026-03-10 11:12:01,22.80,45.20
2026-03-10 11:17:01,22.80,45.00
2026-03-10 11:22:01,22.80,45.00
2026-03-10 11:27:01,22.70,45.10
2026-03-10 11:32:01,22.70,45.20
2026-03-10 11:37:01,22.70,45.20
2026-03-10 11:42:01,22.60,45.50
2026-03-10 11:47:01,22.50,45.60
2026-03-10 11:52:01,22.60,45.90
2026-03-10 11:57:01,22.80,45.60
2026-03-10 12:02:01,23.00,45.30
2026-03-10 12:07:01,23.20,45.00
2026-03-10 12:12:01,23.40,44.90
2026-03-10 12:17:01,23.50,44.80
2026-03-10 12:22:01,23.70,44.40
2026-03-10 12:27:01,23.80,44.30
2026-03-10 12:32:01,23.70,44.20
2026-03-10 12:37:01,23.70,44.30
2026-03-10 12:42:01,23.90,44.10
2026-03-10 12:47:01,24.10,44.00
2026-03-10 12:52:01,24.10,43.70
2026-03-10 12:57:01,24.10,43.90
2026-03-10 13:02:01,24.20,43.80
2026-03-10 13:07:01,24.20,43.50
2026-03-10 13:12:01,24.30,43.70
2026-03-10 13:17:01,24.30,43.50
2026-03-10 13:22:01,24.30,43.70
2026-03-10 13:27:01,24.50,43.40
2026-03-10 13:32:01,24.60,43.30
